label, number of issues
Step 4: Read in depth, 1
question, 1
Literature Review, 1
Summarize, 1
Step 5: Reviewed References, 1
Step 4: Reviewed References, 2
If time, 4
Paywall, 4
In Progress, 4
Key article, 5
Our Process, 5
non-paywall, 6
Grid, 6
Step 4: Dimension added to grid, 7
Dimension added to grid, 8
Writing, 16
Step 2: Summarize, 19
Step 3: Adds Dimension, 22
Step 0: Determine if relevant, 26
Dead End, 27
Step 1: Relevant Paper, 36
